Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.02432E-4,55.25210747,0.50815808,0.065790783,0.416666667,0
3.06852E-4,55.526287907,0.511783773,0.064894994,0.416666667,0
3.1051E-4,55.773628375,0.514744254,0.064098736,0.416666667,0
3.12439E-4,56.02272526,0.516291182,0.063302478,0.416666667,0
3.15787E-4,56.274765653,0.51895245,0.062506221,0.416666667,0
3.19531E-4,56.528652224,0.521893912,0.061709963,0.4375,0
3.22373E-4,56.753297094,0.524102986,0.061013238,0.4375,0
3.25928E-4,57.01312045,0.526838065,0.06021698,0.4375,0
3.29686E-4,57.275268505,0.529694532,0.059420723,0.4375,0
3.32651E-4,57.507150714,0.531924381,0.058723997,0.458333333,0
3.35331E-4,57.774556426,0.533921576,0.05792774,0.458333333,0
3.3733E-4,58.010072845,0.535400874,0.057231014,0.458333333,0
3.4267E-4,58.282854866,0.539305528,0.056434757,0.458333333,0
3.44595E-4,58.523506729,0.540696954,0.055738031,0.458333333,0
3.46895E-4,58.765613302,0.542348052,0.055041306,0.458333333,0
3.49493E-4,59.009418803,0.544200023,0.05434458,0.458333333,0
3.53783E-4,59.255596048,0.547224384,0.053647855,0.458333333,0
3.57158E-4,59.504597191,0.549575572,0.05295113,0.458333333,0
3.59188E-4,59.755437549,0.550978205,0.052254404,0.458333333,0
3.60973E-4,60.007696075,0.552204735,0.051557679,0.458333333,0
3.64244E-4,60.261523326,0.554433802,0.050860954,0.458333333,0
3.66629E-4,60.517286002,0.556045644,0.050164228,0.458333333,0
3.67708E-4,60.774258158,0.556770769,0.049467503,0.458333333,0
3.70131E-4,61.032217788,0.558390847,0.048770777,0.458333333,0
3.71975E-4,61.255053852,0.559616058,0.048173584,0.458333333,0
3.74876E-4,61.516629184,0.561529843,0.047476859,0.458333333,0
3.76816E-4,61.779960789,0.562800566,0.046780133,0.458333333,0
3.80445E-4,62.007369149,0.565157084,0.04618294,0.458333333,0
3.85939E-4,62.276045281,0.568677573,0.045486215,0.458333333,0
3.88926E-4,62.508347625,0.57056773,0.044889022,0.458333333,0
3.92889E-4,62.782195723,0.573049856,0.044192296,0.458333333,0
3.94296E-4,63.018457847,0.573924101,0.043595103,0.458333333,0
3.96786E-4,63.25605295,0.57546268,0.04299791,0.458333333,0
3.98617E-4,63.534619453,0.576587236,0.042301184,0.458333333,0
4.01749E-4,63.77498051,0.578497015,0.041703991,0.458333333,0
4.03879E-4,64.016804096,0.57978574,0.041106798,0.458333333,0
4.07096E-4,64.260512439,0.581717494,0.040509605,0.458333333,0
4.10335E-4,64.505720228,0.583644162,0.039912412,0.458333333,0
4.1099E-4,64.752139205,0.584032,0.039315218,0.458333333,0
4.1427E-4,65.041296337,0.585961714,0.038618493,0.479166667,0
4.18258E-4,65.291338929,0.588284174,0.0380213,0.479166667,0
4.24563E-4,65.502136039,0.591903248,0.037523639,0.479166667,0
4.28782E-4,65.75822064,0.594289283,0.036926446,0.479166667,0
4.3212E-4,66.016824134,0.59615809,0.036329253,0.479166667,0
4.37567E-4,66.277931076,0.599170227,0.035732059,0.479166667,0
4.41851E-4,66.542493857,0.601507411,0.035134866,0.479166667,0
4.46076E-4,66.764641687,0.60378675,0.034637205,0.479166667,0
4.51086E-4,67.033986694,0.606455257,0.034040012,0.479166667,0
4.56579E-4,67.261193938,0.609340249,0.033542351,0.479166667,0
4.63011E-4,67.537685696,0.612665178,0.032945158,0.479166667,0
4.68063E-4,67.77057769,0.615237288,0.032447497,0.479166667,0
4.71451E-4,68.005345753,0.616943367,0.031949836,0.479166667,0
4.7579E-4,68.289658625,0.61910609,0.031352643,0.479166667,0
4.78662E-4,68.528154137,0.620523812,0.030854982,0.5,0
4.80789E-4,68.768297037,0.62156726,0.030357321,0.520833333,0
4.88132E-4,69.01125716,0.62512609,0.02985966,0.541666667,0
4.93028E-4,69.257102489,0.627462017,0.029361999,0.5625,0
4.96498E-4,69.504558834,0.629100047,0.028864338,0.5625,0
5.02569E-4,69.754750901,0.6319314,0.028366677,0.583333333,0
5.13778E-4,70.010893029,0.637046678,0.027869016,0.583333333,0
5.17117E-4,70.268770441,0.638543365,0.027371355,0.583333333,0
5.20868E-4,70.528518367,0.640209621,0.026873694,0.583333333,0
5.27107E-4,70.790082815,0.642947793,0.026376033,0.583333333,0
5.30163E-4,71.0018578,0.644274047,0.025977904,0.604166667,0
5.31524E-4,71.267385161,0.644861154,0.025480243,0.604166667,0
5.41061E-4,71.535970779,0.648923312,0.024982582,0.604166667,0
5.4845E-4,71.75385583,0.652007301,0.024584453,0.604166667,0
5.56169E-4,72.030881609,0.655171656,0.024086792,0.604166667,0
5.63713E-4,72.25525097,0.658209021,0.023688663,0.604166667,0
5.72503E-4,72.540228601,0.661681614,0.023191002,0.604166667,0
5.78323E-4,72.771221967,0.663942041,0.022792873,0.604166667,0
5.81284E-4,73.002918331,0.66508048,0.022394745,0.604166667,0
5.92309E-4,73.297463649,0.669252596,0.021897084,0.625,0
5.96023E-4,73.535283993,0.670634733,0.021498955,0.645833333,0
5.97908E-4,73.774053116,0.671331902,0.021100826,0.645833333,0
6.07385E-4,74.015722478,0.674792234,0.020702697,0.666666667,0
6.10989E-4,74.259694537,0.676089449,0.020304569,0.666666667,0
6.17406E-4,74.505828631,0.678373186,0.01990644,0.666666667,0
6.24568E-4,74.754683946,0.680884166,0.019508311,0.666666667,0
6.27752E-4,75.005323314,0.68198825,0.019110182,0.666666667,0
6.40627E-4,75.258950849,0.686374815,0.018712053,0.666666667,0
6.46982E-4,75.516461811,0.688495917,0.018313925,0.6875,0
6.5612E-4,75.777340914,0.691495756,0.017915796,0.6875,0
6.64609E-4,76.041263998,0.694231501,0.017517667,0.6875,0
6.68592E-4,76.308426277,0.695498382,0.017119538,0.6875,0
6.71493E-4,76.509433926,0.696414543,0.016820942,0.6875,0
6.88843E-4,76.782352293,0.701780725,0.016422813,0.708333333,0
6.98007E-4,77.06025483,0.704539191,0.016024684,0.708333333,0
7.07174E-4,77.271479794,0.707247827,0.015726087,0.708333333,0
7.18773E-4,77.557728521,0.710604984,0.015327959,0.729166667,0
7.23467E-4,77.774027026,0.711941591,0.015029362,0.729166667,0
7.38622E-4,78.066164521,0.716174546,0.014631233,0.729166667,0
7.44177E-4,78.288656387,0.717695051,0.014332637,0.729166667,0
7.54411E-4,78.514285982,0.720454261,0.01403404,0.729166667,0
7.62558E-4,78.818284668,0.722612309,0.013635911,0.729166667,0
7.70668E-4,79.04872273,0.724727979,0.013337315,0.729166667,0
7.79844E-4,79.281951323,0.727082933,0.013038718,0.729166667,0
7.82778E-4,79.516461479,0.727827415,0.012740121,0.729166667,0
7.91816E-4,79.752698292,0.730095595,0.012441525,0.729166667,0
7.99222E-4,80.071454636,0.731926031,0.012043396,0.729166667,0
8.04535E-4,80.312005876,0.733224165,0.011744799,0.729166667,0
8.21078E-4,80.555493286,0.737186604,0.011446203,0.729166667,0
8.35321E-4,80.804543611,0.740504956,0.011147606,0.729166667,0
8.41179E-4,81.056226214,0.74184554,0.01084901,0.75,0
8.55712E-4,81.31131958,0.74511246,0.010550413,0.770833333,0
8.65943E-4,81.570640458,0.747363047,0.010251816,0.770833333,0
8.81199E-4,81.833937862,0.750646145,0.00995322,0.770833333,0
8.88557E-4,82.011097503,0.752199398,0.009754155,0.770833333,0
8.96384E-4,82.279096156,0.753830518,0.009455559,0.770833333,0
9.10634E-4,82.551531951,0.756745638,0.009156962,0.770833333,0
9.1256E-4,82.825181756,0.757134331,0.008858366,0.770833333,0
9.15489E-4,83.008040635,0.757722988,0.008659301,0.791666667,0
9.23544E-4,83.283748102,0.759327554,0.008360705,0.8125,0
9.5871E-4,83.566751037,0.766090608,0.008062108,0.8125,0
9.61394E-4,83.758890514,0.766591211,0.007863044,0.8125,0
9.82028E-4,84.051401391,0.770369448,0.007564447,0.8125,0
1.00259E-3,84.349351051,0.774014407,0.007265851,0.8125,0
1.01045E-3,84.550933065,0.775377498,0.007066786,0.8125,0
1.02422E-3,84.754945288,0.777726434,0.006867722,0.8125,0
1.05391E-3,85.068101961,0.782627615,0.006569125,0.8125,0
1.09127E-3,85.282666923,0.788494552,0.006370061,0.8125,0
1.09214E-3,85.501066009,0.788626945,0.006170996,0.8125,0
1.11096E-3,85.83258783,0.791461963,0.0058724,0.8125,0
1.11871E-3,86.056067975,0.792607149,0.005673335,0.8125,0
1.13137E-3,86.282075447,0.794449832,0.005474271,0.8125,0
1.13159E-3,86.508392716,0.794482487,0.005275207,0.8125,0
1.16922E-3,86.852475641,0.799772711,0.00497661,0.8125,0
1.20159E-3,87.091142171,0.804108805,0.004777546,0.8125,0
1.20733E-3,87.332078993,0.804859489,0.004578481,0.8125,0
1.23669E-3,87.578229423,0.808605071,0.004379417,0.8125,0
1.2686E-3,87.829638603,0.81251636,0.004180352,0.8125,0
1.3129E-3,88.092156328,0.817690001,0.003981288,0.8125,0
1.33908E-3,88.359724039,0.820614137,0.003782224,0.8125,0
